"Convention Culture & Leisure organization_FTE","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"CCL Administration",10,10,10,10,10,"-"
"Convention Center Complex",83.15,83.15,83.15,81.65,83.15,"-"
"Crocker Art Museum",6,6,6,6,6,"-"
"Golf",59.36,59.36,1,1,1,"-"
"Metro Arts Commission",10,9,9,9,9,"-"
"Old City Cemetery",1,1,1,1,1,"-"
"Old Sacramento",8.83,8.83,8.83,8.83,8.83,"-"
"Sacramento Archives",4,3,3,3,3,"-"
"Sacramento Marina",7.8,7.8,7.8,7.8,7.8,"-"
"Sacramento Zoo",6,6,6,5,6,"-"
