"Convention Culture organization_budget","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"CCL Administration",1458727,1672674,1635574,1632138,1659579,24005
"Convention Center Complex",11249637,12237459,12337461,12476947,12438386,100925
"Crocker Art Museum",1924517,1787248,1800836,1705486,1777260,-23576
"Discovery Museum Science Cntr",243822,238541,238541,238541,238541,"-"
"Fairytale Town",73925,62245,62245,62245,62245,"-"
"Golf",4971992,5914861,5914858,214443,208411,-5706447
"Metro Arts Commission",588352,422108,399953,409361,394499,-5454
"Old City Cemetery",90772,108566,108566,121958,120629,12063
"Old Sacramento",1260426,1328305,1330676,1362569,1349096,18420
"Sacramento Archives",534626,407713,407712,409389,414162,6450
"Sacramento History Museum",236909,236733,236733,236733,236733,"-"
"Sacramento Marina",1625418,1671190,1735445,2315886,2304069,568624
"Sacramento Zoo",797386,569374,569374,555215,573005,3631
